"Film"	"Budget"	"CA_USA"	"CA_Monde"
"Saw"	1200000	55185045	103096345
"Neal n' Nikki"	1300000	100358	329621
"The Girlfriend Experience"	1300000	695840	1005840
"Simon"	1300000	4055	1738663
"San Francisco"	1300000	2868000	5273000
"Lock, Stock and Two Smoking Barrels"	1350000	3897569	25297569
"Holy Girl"	1400000	304124	1261792
"Forty Shades of Blue"	1500000	75828	172569
"Session 9"	1500000	378176	1619602
"Kissing Jessica Stein"	1500000	7025722	8915268
"The Squid and the Whale"	1500000	7372734	11098131
"Nine Queens"	1500000	1222889	12412889
"Kids"	1500000	7412216	20412216
"Waitress"	1500000	19097550	22271950
"Cabin Fever"	1500000	21158188	30553394
"Dawn of the Dead"	1500000	5100000	55000000
"Insidious"	1500000	54009150	97009150
"Mississippi Mermaid"	1600000	27795	2627795
"Sukkar banat"	1600000	1060591	14253760
"Yes"	1700000	396035	661221
"Happy, Texas"	1700000	2039192	2891228
"My Summer of Love"	1700000	1000915	4951476
"In the Bedroom"	1700000	35930604	43430604
"Run Lola Run"	1750000	7267324	14533173
"Higher Ground"	1800000	841056	853831
"Travellers and Magicians"	1800000	506793	1058893
"The Last Exorcism"	1800000	41034350	67357714
"The Square"	1900000	406216	684214
"Northfork"	1900000	1420578	1445140
"Nowhere Boy"	1900000	1445366	6545366
"This Thing of Ours"	2000000	37227	37227
"Eureka"	2000000	49388	76654
"Hum to Mohabbt Karega"	2000000	121807	300000
"House of D"	2000000	388532	466106
"Clockwatchers"	2000000	537948	539961
"Sherrybaby"	2000000	199176	622806
"Dinner Rush"	2000000	638227	1075504
"It's All Gone Pete Tong"	2000000	120620	1620620
"Subway"	2000000	390659	1663296
"Strangers with Candy"	2000000	2072645	2077844
"Hamlet"	2000000	1577287	2288841
"Teeth"	2000000	347578	2300349
"Full Frontal"	2000000	2512846	3438804
"Me and You and Everyone We Know"	2000000	3885134	5409058
"Harsh Times"	2000000	3337931	5963961
"Ghost Dog: Way of the Samurai"	2000000	3330230	6030230
"Thirteen"	2000000	4601043	6302406
"Smoke Signals"	2000000	6719300	7756617
"American Splendor"	2000000	6003587	7978681
"Inside Job"	2000000	4311834	8043783
"Son of Rambow: A Home Movie"	2000000	1785505	10573083
"Waltz with Bashir"	2000000	2283849	11125664
"Before Sunset"	2000000	5792822	11293790
"Touching the Void"	2000000	4593598	13885802
"Winter's Bone"	2000000	6531503	14231503
"Les Triplettes de Belleville"	2000000	7301288	14440113
"Boys Don't Cry"	2000000	11540607	20741000
"Amores Perros"	2000000	5383834	20883834
"Das Leben der Anderen"	2000000	11284657	75284657
"From Russia With Love"	2000000	24800000	78900000
"Bully"	2100000	510092	1010092
"Thr3e"	2400000	1008849	1060418
"Marilyn Hotchkiss' Ballroom Dancing and Charm School"	2500000	349132	399114
"Jesus' Son"	2500000	1282084	1687548
"My Life Without Me"	2500000	432360	9476113
"Religulous"	2500000	13011160	13136074
"Garden State"	2500000	26782316	32381151
"That Thing You Do!"	2500000	25857416	34557416
"Riding Giants"	2600000	2276368	3216111
"Ulee's Gold"	2700000	9054736	15600000
"Lage Raho Munnabhai"	2700000	2217561	31517561
"Diary of the Dead"	2750000	952620	4726656
"Hustle & Flow"	2800000	22202809	23563727
"High Tension"	2850000	3681066	5208449
"Freakonomics"	2900000	101270	117270
"Central do Brasil"	2900000	5969553	17006158
"The Gambler"	3000000	51773	101773
"Chain Letter"	3000000	205842	635842
"Thirteen Conversations About One Thing"	3000000	3287435	3705923
"8 Heads in a Duffel Bag"	3000000	3602884	4002884
"Please Give"	3000000	4033574	4570178
"Fish Tank"	3000000	374675	4744481
"Happiness"	3000000	2746453	5746453
"Phat Girlz"	3000000	7061128	7301080
"Water"	3000000	5529144	8119205
"The Deep End"	3000000	8823109	10091739
"Tsotsi"	3000000	2912606	10235655
"Dave Chappelle's Block Party"	3000000	11718595	12051924
"Super Troopers"	3000000	18492362	23046142
"The Apartment"	3000000	18600000	24600000
"Air Bud"	3000000	24646936	27555061
"East is East"	3000000	4170647	30767768
"The Original Kings of Comedy"	3000000	38168022	38236338
"Waking Ned Devine"	3000000	24793251	55193251
"Bowling for Columbine"	3000000	21576018	58576018
"Pokemon 3: The Movie"	3000000	17052128	68452128
"Goldfinger"	3000000	51100000	124900000
"Paranormal Activity 2"	3000000	84752907	177512032
"Trainspotting"	3100000	16501785	24000785
"Feast"	3200000	56131	341808
"Adam"	3200000	2277396	2828590
"Maria Full of Grace"	3200000	6529624	9892434
"Beginners"	3200000	5790894	10233897
"Entre les murs"	3250000	3766810	28866810
"Human Traffic"	3300000	104257	5422740
"Bella"	3300000	8093373	9220041
"Cidade de Deus"	3300000	7563397	28763397
"La marche de l'empereur"	3400000	77437223	129437223
"Taxman"	3500000	9871	9871
"Winter Passing"	3500000	107492	113783
"Surveillance"	3500000	27349	1099891
"She's the One"	3500000	9482579	13795053
"Empire"	3500000	17504595	18495444
"Friday"	3500000	27467564	27936778
"Day of the Dead"	3500000	5804262	34004262
"The Secret in Their Eyes"	3500000	6391436	34702351
"The Full Monty"	3500000	45950122	257938649
"Unknown"	3700000	26403	3080493
"The History Boys"	3700000	2730296	13425589
"The Ballad of Cable Hogue"	3716946	3500000	5000000
"Casa de Areia"	3750000	539285	1178175
"The Good Heart"	3800000	20930	340930
"Gone with the Wind"	3900000	198680470	390525192
"Adoration"	4000000	294244	384244
"Poolhall Junkies"	4000000	563711	563711
"MirrorMask"	4000000	864959	963224
"Thumbsucker"	4000000	1328679	1919197
"The Cooler"	4000000	8291572	10464788
"The Night Listener"	4000000	7836393	10547755
"The Rules of Attraction"	4000000	6525762	11799060
"The Visitor"	4000000	9427026	16784953
"De-Lovely"	4000000	13337299	18396382
"Saving Grace"	4000000	12178602	27786849
"The Kids Are All Right"	4000000	20811365	34711365
"The Life of Brian"	4000000	20008693	36000000
"Scoop"	4000000	10525717	39125717
"Monster's Ball"	4000000	31273922	44873922
"Leaving Las Vegas"	4000000	31983777	49800000
"Lost in Translation"	4000000	44585453	106454000
"Animal Kingdom"	4200000	1044039	6744039
"Nochnoy dozor"	4200000	1502188	33913542
"Paa"	4300000	199228	9791282
"Sexy Beast"	4300000	6946056	10154577
"Whale Rider"	4300000	20779666	38833352
"Spun"	4500000	410241	1022649
"Donnie Darko"	4500000	1270522	4116307
"Bound"	4500000	3802260	6300000
"Requiem for a Dream"	4500000	3635482	7390108
"Chinjeolhan geumjassi"	4500000	211667	23471871
"25th Hour"	4500000	13084595	23928503
"Four Weddings and a Funeral"	4500000	52700832	242895809
"Savage Grace"	4600000	434417	968805
"Le nom des gens"	4600000	514237	9261711
"Pat Garrett and Billy the Kid"	4638783	8000000	11000000
"Take Shelter"	4750000	1705348	1782545
"Tristram Shandy: A Cock and Bull Story"	4750000	1253413	3061763
"Hostel"	4800000	47326473	80578934
"Sling Blade"	4833610	24475416	34175000
"Obsluhoval jsem anglického krále"	4900000	617228	7174984
"Fascination"	5000000	16670	83356
"Redacted"	5000000	65388	765388
"Party Monster"	5000000	742898	894030
"Gandhi, My Father"	5000000	240425	1375194
"Rabbit Hole"	5000000	2229058	3629058
"Keeping Up with the Steins"	5000000	4339241	4414154
"Made"	5000000	5308707	5476060
"Grandma's Boy"	5000000	6090172	6590172
"Moon"	5000000	5010163	6934829
"The Sweet Hereafter"	5000000	4306697	7951247
"Saved!"	5000000	8886160	10102511
"Sea Rex 3D: Journey to a Prehistoric World"	5000000	4561434	12651156
"Sunshine Cleaning"	5000000	12062558	16462558
"Digimon: The Movie"	5000000	9628751	16628751
"Nighthawks"	5000000	14600000	19600000
"The Apostle"	5000000	20733485	21277770
"Mommie Dearest"	5000000	19032000	25032000
"Apollo 18"	5000000	17686929	25586929
"Clerks II"	5000000	24148068	25894473
"Shaun of the Dead"	5000000	13542874	29629128
"Y Tu Mama Tambien (And Your Mother Too)"	5000000	13649881	33649881
"Memento"	5000000	25544867	39665950
"La mala educación"	5000000	5211842	40311842
"Monster"	5000000	34469210	58003694
"Bend it Like Beckham"	5000000	32543449	76583333
"Jackass: The Movie"	5000000	64282312	79282312
"Billy Elliot"	5000000	21995263	109280263
"Saw II"	5000000	87025093	152925093
"Paranormal Activity 3"	5000000	104028807	201571178
"Crocodile Dundee"	5000000	174803506	328000000
"My Big Fat Greek Wedding"	5000000	241438208	374890034
"Saint Ralph"	5200000	795126	1695126
"Rang De Basanti"	5300000	2197694	29197694
"Harvard Man"	5500000	56653	56653
"Haevnen"	5500000	1008098	5691237
"De battre mon coeur s'est arrêté"	5500000	1023424	8589831
"Ghost World"	5500000	6217849	8764007
"Iris"	5500000	5580479	15035827
"Diary of a Mad Black Woman"	5500000	50406346	50425450
"Les Choristes"	5500000	3629758	83529758
"Tom yum goong"	5700000	12044087	43044087
"Emma"	5900000	22231658	37831658
"The Business of Strangers"	6000000	1030920	1290920
"Julia"	6000000	65108	1365108
"Novocaine"	6000000	2025238	2522928
"The Wackness"	6000000	2077046	2635650
"Shattered Glass"	6000000	2207975	2932719
"Hedwig and the Angry Inch"	6000000	3067312	3643900
"Venus"	6000000	3347411	4022411
"Lucky Break"	6000000	54606	4316497
"College"	6000000	4694491	5629618
"Snow Flower and the Secret Fan"	6000000	1348205	6309705
"Pollock"	6000000	8596914	10557291
"The Guard"	6000000	5346599	15931454
"Dolphins and Whales Tribes of the Ocean 3D"	6000000	7714996	17252287
"A Mighty Wind"	6000000	17583468	18552708
"Best in Show"	6000000	18621249	20695413
"Little Voice"	6000000	4595000	21787233
"The Brothers"	6000000	27457409	27958191
"Mr. Nice Guy"	6000000	12716953	31716953
"The Usual Suspects"	6000000	23341568	34449356
"National Lampoon's Van Wilder"	6000000	21305259	38565523
"The Wrestler"	6000000	26238243	43238243
"The Last King of Scotland"	6000000	17606684	48363516
"Sliding Doors"	6000000	11911200	58809149
"Fahrenheit 9/11"	6000000	119114517	222414517
"Grease"	6000000	181813770	387513770
"Die Fälscher"	6250000	5488570	19416495
"The Damned United"	6400000	449865	4054204
"Control"	6400000	871577	5645350
"The Terminator"	6400000	38019031	78019031
"Goodbye, Lenin!"	6400000	4063859	79316616
"A Home at the End of the World"	6500000	1029017	1033810
"The Messenger"	6500000	1109660	1409660
"Layer Cake"	6500000	2339957	11850214
"Friends with Money"	6500000	13368437	17518322
"Go!"	6500000	16875273	28383441
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour"	6500000	65281781	71281781
"Bran Nue Dae"	6750000	113568	6352060
"Shade"	6800000	25032	459098
"Ca$h"	7000000	46488	46488
"The Boondock Saints"	7000000	30471	250000
"The Extra Man"	7000000	453377	457877
"Wah-Wah"	7000000	234750	463039
"I Hope They Serve Beer in Hell"	7000000	1429299	1429453
"Auto Focus"	7000000	2062066	2703821
"Mother and Child"	7000000	1110509	5010509
"Veer-Zaara"	7000000	2938532	7017859
"Outside Providence"	7000000	7309628	7824358
"Get Low"	7000000	9176933	9696933
"Cyrus"	7000000	7468936	10039886
"The House of the Dead"	7000000	10199354	13767816
"Somewhere"	7000000	1785645	14385645
"Flirting with Disaster"	7000000	14853474	16149180
"Rabbit-Proof Fence"	7000000	6199600	16199600
"House of 1,000 Corpses"	7000000	12634962	16829545
"A Single Man"	7000000	9176000	19112672
"The Devil's Rejects"	7000000	17044981	20940428
"Bride & Prejudice"	7000000	6601079	22064531
"Kingdom Come"	7000000	23247539	23393939
"A Serious Man"	7000000	9228788	30710147
"My Dog Skip"	7000000	34099640	35795319
"Jumping the Broom"	7000000	37295394	37715394
"Capote"	7000000	28750530	49233161
"Fargo"	7000000	24567751	51204567
"Good Night and Good Luck"	7000000	31501218	54601218
"Definitely, Maybe"	7000000	32241649	55863786
"The Descent"	7000000	26024456	57029609
"The Man with the Golden Gun"	7000000	21000000	97600000
"Les Visiteurs"	7000000	659000	98754000
"Live and Let Die"	7000000	35400000	161800000
"Flashdance"	7000000	90463574	201463574
"Juno"	7000000	143495265	231450102
"The Godfather"	7000000	134966411	268500000
"The Omega Code"	7200000	12610552	12678312
"Diamonds Are Forever"	7200000	43800000	116000000
"Harry Brown"	7300000	1818681	6294140
"Crash"	7303082	55334418	99164179
"Ta Ra Rum Pum"	7400000	872643	9443864
"Code 46"	7500000	197148	1788324
"Extract"	7500000	10823158	10849158
"An Education"	7500000	12574914	14134502
"Pulse"	7500000	20264436	29771485
"Hostel: Part II"	7500000	17544812	33606409
"Rumble in the Bronx"	7500000	32281907	36238752
"Thank You For Smoking"	7500000	24793509	39323509
"Swimming Pool"	7800000	10130108	22441323
"Imagine Me & You"	7900000	672243	972243
"Fido"	8000000	298110	419801
"Dear Wendy"	8000000	23106	446438
"The Singing Detective"	8000000	336456	524747
"The Secret of Kells"	8000000	690290	2159332
"Clay Pigeons"	8000000	1793359	2256606
"Restless"	8000000	163753	2299280
"And When Did You Last See Your Father?"	8000000	1071240	2476491
"It's Kind of a Funny Story"	8000000	6363628	6628326
"Woman on Top"	8000000	5018450	10192613
"Prom"	8000000	10130219	10266538
"Made in Dagenham"	8000000	1095369	12395369
"See No Evil"	8000000	15032800	15387513
"The Good Girl"	8000000	14018296	16856124
"Caché"	8000000	3647381	17147381
"Another Year"	8000000	3205706	18505706
"Akeelah and the Bee"	8000000	18848430	18948425
"Drive Me Crazy"	8000000	17843379	22591451
"Brown Sugar"	8000000	27362712	28315272
"American Psycho"	8000000	15070285	28674417
"The Player"	8000000	21706101	28876702
"8 femmes"	8000000	3076425	42376425
"You Got Served"	8000000	40066497	48066497
"Easy A"	8000000	58401464	75330939
"On Her Majesty's Secret Service"	8000000	22800000	82000000
"28 Days Later..."	8000000	45064915	82955633
"Little Miss Sunshine"	8000000	59891098	100282939
"Pulp Fiction"	8000000	107928762	212928762
"The Sound of Music"	8200000	163214286	286214286
"Limbo"	8300000	2160710	2598224
"Namastey London"	8400000	1207007	6831069
"My Name is Khan"	8470000	4046336	42355526
"Club Dread"	8500000	5001655	7573551
"Bright Star"	8500000	4444637	9469105
"Election"	8500000	14943582	17051071
"The Namesake"	8500000	13610521	20180109
"Silmido"	8500000	298347	30298347
"Crazy Heart"	8500000	39471742	47417251
"Star Wars: The Clone Wars"	8500000	35161554	68161554
"Awake"	8600000	14373825	30757745
"Flammen og Citronen"	9000000	148089	1635241
"Trust the Man"	9000000	1530535	2548378
"Gracie"	9000000	2956339	3036736
"Velvet Goldmine"	9000000	1053788	4861972
"Hamlet 2"	9000000	4886216	4898285
"The Savages"	9000000	6623082	10573702
"Breakin' All the Rules"	9000000	12232382	12512317
"Chasing Papi"	9000000	6126237	12657377
"The Way of the Gun"	9000000	6047856	13061935
"Glee: The 3D Concert Movie"	9000000	11862398	17462398
"Boiler Room"	9000000	16963963	28773637
"Sicko"	9000000	24538513	33538513
"The Best Man"	9000000	34102780	34572780
"Child's Play"	9000000	33244684	44196684
"The Strangers"	9000000	52597610	80597610
"The Texas Chainsaw Massacre"	9000000	80571655	107071655
"Thunderball"	9000000	63600000	141200000
"Alien"	9000000	80930630	203630630
"Richard III"	9200000	2684904	4204857
"It's a Mad Mad Mad Mad World"	9400000	46300000	60000000
"Volver"	9400000	12899867	85599867
"Gentlemen Broncos"	9500000	113682	118482
"The Runaways"	9500000	3573673	4673673
"Next Friday"	9500000	57176582	59675307
"You Only Live Twice"	9500000	43100000	111600000
"The Lost City"	9600000	2484186	3650302
"Adventureland"	9800000	16044025	17144025
"The Open Road"	10000000	19716	19716
"Edmond"	10000000	131719	241719
"Imaginary Heroes"	10000000	228524	290875
"World's Greatest Dad"	10000000	221805	295750
"Welcome to the Rileys"	10000000	152857	312857
"The Brown Bunny"	10000000	366301	630427
"Free Style"	10000000	141108	721108
"Motherhood"	10000000	93388	723388
"War, Inc."	10000000	580862	1296184
"A Better Life"	10000000	1759252	1766372
"Cecil B. Demented"	10000000	1276984	1953882
"Bamboozled"	10000000	2185266	2373937
"Gun Shy"	10000000	1638202	2500000
"Police Academy 7: Mission to Moscow"	10000000	126247	3521422
"The Joneses"	10000000	1475746	3541565
"Romeo Is Bleeding"	10000000	3275585	3596834
"On the Line"	10000000	4365455	4690802
"The Swindle"	10000000	245359	5045359
"The Limey"	10000000	3193102	6030047
"Deuces Wild"	10000000	6044618	6244618
"Rescue Dawn"	10000000	5490423	7037886
"Bones"	10000000	7316658	8378853
"The Oxford Murders"	10000000	4803	8668544
"Sphinx"	10000000	2000000	11400000
"End of the Spear"	10000000	11748661	11873996
"Office Space"	10000000	10827813	12827813
"Dirty Pretty Things"	10000000	8112414	13904766
"Turistas"	10000000	7027762	14321070
"The Goods: Live Hard, Sell Hard"	10000000	15122676	15297318
"Kung Pow: Enter the Fist"	10000000	16033556	17033556
"The Matador"	10000000	12578537	17290120
"Roll Bounce"	10000000	17380866	17500866
"Sugar Hill"	10000000	18272447	18366880
"Rushmore"	10000000	17105219	19080435
"The Perfect Man"	10000000	16535005	19535005
"The Corruptor"	10000000	15164492	19700000
"Get Over It"	10000000	11560259	19860259
"Over Her Dead Body"	10000000	7570127	20717656
"Very Bad Things"	10000000	9949470	21094974
"Wrong Turn"	10000000	15417771	28649556
"Jane Austen's Mafia"	10000000	19843795	30143795
"Krrish"	10000000	1430721	32430721
"Friday After Next"	10000000	33253609	33526835
"Nick and Norah's Infinite Playlist"	10000000	31487293	33544594
"Swimfan"	10000000	28564995	34364995
"Run, Fatboy, Run"	10000000	6003262	36743410
"The Banger Sisters"	10000000	30306281	38067218
"Employee of the Month"	10000000	28444855	38364855
"Happy Gilmore"	10000000	38623460	41004412
"Joheunnom nabbeunnom isanghannom"	10000000	128486	42226657
"Shaolin Soccer"	10000000	488872	42776032
"Dogma"	10000000	30651422	43948865
"Recess: School's Out"	10000000	36696761	44451470
"The Gift"	10000000	12008642	44567606
"The Fourth Kind"	10000000	26218170	49488788
"The Longest Day"	10000000	39100000	50100000
"Jeepers Creepers"	10000000	37904175	59204175
"Madea's Family Reunion"	10000000	63257940	63308879
"Precious (Based on the Novel Push by Sapphire)"	10000000	47566524	63471431
"Skyline"	10000000	21416355	78693371
"Snatch"	10000000	30093107	83593107
"Bring it On"	10000000	68353550	90453550
"White Noise"	10000000	56094360	92094360
"Saw IV"	10000000	63300095	134528909
"Saw III"	10000000	80238724	163876815
"The Grudge"	10000000	110359362	187281115
"Good Will Hunting"	10000000	138433435	225933435
"September Dawn"	10100000	1066555	1066555
"Housefull"	10100000	1183658	18726300
"Le Fabuleux destin d'Amélie Poulain"	10350000	33201661	174201661
"In the Land of Women"	10500000	11052958	14140402
"2001: A Space Odyssey"	10500000	56700000	68700000
"ET: The Extra-Terrestrial"	10500000	435110554	792965326
"Darkness"	10600000	22163442	34409206
"An Ideal Husband"	10700000	18542974	31341183
"Poltergeist"	10700000	74706019	121706019
"Kabhi Alvida Naa Kehna"	10750000	3275443	32575443
"Jindabyne"	10800000	399879	2862544
"Saw V"	10800000	56746769	113146769
"Romance and Cigarettes"	11000000	551002	3231251
"The Gospel of John"	11000000	4068087	4246765
"Kinsey"	11000000	10214647	13000959
"The Ladies Man"	11000000	13592872	13719474
"Out Cold"	11000000	13906394	14786394
"Frailty"	11000000	13110448	17423030
"Army of Darkness"	11000000	11502976	21502976
"The Guru"	11000000	3051221	23788368
"Corky Romano"	11000000	23978402	24400000
"The Secret Life of Bees"	11000000	37770162	39615978
"A Walk to Remember"	11000000	41227069	46060915
"Saw VI"	11000000	27693292	61259697
"Cruel Intentions"	11000000	38230075	75803716
"Dead Man Walking"	11000000	39387284	83088295
"Jackass: Number Two"	11000000	72778712	85278712
"Phone Booth"	11000000	46566212	97837138
"The Fighter"	11000000	93617009	129217009
"High School Musical 3: Senior Year"	11000000	90559416	251059416
"Star Wars Ep. IV: A New Hope"	11000000	460998007	797900000
"San qiang pai an jing qi"	12000000	190946	310946
"Company Man"	12000000	146028	622273
"Duma"	12000000	870067	994790
"Brother"	12000000	450594	1338961
"Invaders from Mars"	12000000	4884663	4984663
"Celebrity"	12000000	5078660	6200000
"Running With Scissors"	12000000	6806898	8653599
"Sorority Boys"	12000000	10198766	12516222
"Rachel Getting Married"	12000000	12796861	13326864
"Two Lovers"	12000000	3149034	16349034
"My Baby's Daddy"	12000000	17321573	17322212
"2046"	12000000	1442338	19202856
"Nanjing! Nanjing!"	12000000	122558	20122558
"Girl with a Pearl Earring"	12000000	11634362	22106210
"Aquamarine"	12000000	18597342	22978953
"In the Cut"	12000000	4717455	23693646
"Rounders"	12000000	22921898	24000000
"The Upside of Anger"	12000000	18761993	27361993
"How High"	12000000	31155435	31260435
"Johnson Family Vacation"	12000000	31203964	31462753
"Crank"	12000000	27838408	33824696
"Faster"	12000000	23240020	35658648
"Quarantine"	12000000	31691811	41291811
"Casino Royale"	12000000	22744718	41744718
"Harold & Kumar Escape from Guantanamo Bay"	12000000	38108728	43231984
"The Postman Always Rings Twice"	12000000	12200000	44200000
"Fortress"	12000000	6730578	46730578
"One Hour Photo"	12000000	31597131	52223306
"Frida"	12000000	25885000	56298474
"The Eye"	12000000	31418697	56918697
"Crossroads"	12000000	37188667	57000000
"Spartacus"	12000000	30000000	60000000
"Jackie Brown"	12000000	39673162	72673162
"Barbershop"	12000000	75781642	77081642
"Boot, Das"	12000000	11487676	84970337
"Gwoemul"	12000000	2201923	92618117
"House of Flying Daggers"	12000000	11050094	92863945
"Star Trek II: The Wrath of Khan"	12000000	79912963	96800000
"Ace Ventura: Pet Detective"	12000000	72217396	107217396
"Step Up"	12000000	65328121	115328121
"American Pie"	12000000	101800948	234723148
"The Exorcist"	12000000	204868002	402735134
"Jaws"	12000000	260000000	470700000
"The Land Before Time"	12300000	48092846	81972846
"The Funeral"	12500000	1212799	1412799
"Casino Jack"	12500000	2039869	2080869
"Conviction"	12500000	6797696	10133552
"Lars and the Real Girl"	12500000	5956480	10553442
"The Emperor's Club"	12500000	14060950	16124074
"Cat People (bis)"	12500000	7000000	21000000
"Antwone Fisher"	12500000	21078145	23367586
"Sorority Row"	12500000	11965282	26735797
"Crocodile Hunter: Collision Course"	12500000	28436931	33436931
"The Boy in the Striped Pyjamas"	12500000	9046156	39846156
"Machete"	12500000	26593646	44331957
"Dancer in the Dark"	12500000	4157491	45557491
"Tae Guik Gi: The Brotherhood of War"	12500000	1110186	69826708
"Find Me Guilty"	13000000	1173673	1788077
"Faithful"	13000000	2104439	2500000
"Infamous"	13000000	1151330	2613717
"The Killer Inside Me"	13000000	217277	3617277
"Attack the Block"	13000000	1024175	5406422
"Birthday Girl"	13000000	4919896	8130727
"Chloe"	13000000	3075255	9675172
"Un Prophète"	13000000	2087720	12081833
"I Love You, Phillip Morris"	13000000	2037459	15144685
"crazy/beautiful"	13000000	16929123	19929123
"Two Can Play That Game"	13000000	22235901	22391450
"Being John Malkovich"	13000000	22858926	32382381
"Child's Play 2"	13000000	26904572	34166572
"This Christmas"	13000000	49121934	49778552
"The Mist"	13000000	25593755	54777490
"Snow Day"	13000000	60008303	62452927
"Letters from Iwo Jima"	13000000	13756082	68756082
"The Butterfly Effect"	13000000	57924679	96046844
"Justin Bieber: Never Say Never"	13000000	73013910	99034125
"Män som hatar kvinnor"	13000000	12749992	106749992
"Save the Last Dance"	13000000	91038276	131638276
"Black Swan"	13000000	106954678	329454678
"Mar adentro"	13300000	2086345	39686345
"Far From Heaven"	13500000	15901849	29027914
"Downfall"	13500000	5501940	91940572
"Teenage Mutant Ninja Turtles"	13500000	135265915	202000000
"Brokeback Mountain"	13900000	83043761	180343761
"Les herbes folles"	14000000	403952	1903952
